Species;p;HA;HL;T0.5L;HH;T0.5H;Tref;CTmin;CTmax;mTmin;mTmax;Cwilt;mwilt
Liriomyza sativae;0.2;5382;-82469;291;185564;307;25;10;35;-0.1;-0.365;0.8;-11.5
Liriomyza huidobrensis;0.043;6000;-109000;290;184000;298.5;25;-5;30;-0.029;-0.05;0.8;-2.5
Liriomyza trifolii;0.148;7000;-104000;291.5;240000;305.75;25;5;35;-0.07;-0.2722;0.8;-7.83
Diglyphus isaea;0.22;12000;-73500;286;282000;304;25;10;33;-0.07;-0.365;0.8;-2.5
Hemiptarsenus varicornis;0.22;24437;-225191;288;134917;303;25;15;37;-0.07;-0.365;0.8;-2.5
